"datum_geschaeft_eingang","geschaeftsnummer","grg_nummer","geschaftstitel","geschaftsart","kennung","sachbegriff_grgeko_1","status","departement"
2024-05-22,"2024/WA 1/1","1","Amtsgelübde der neugewählten Mitglieder des Grossen Rates","Wahlgeschäft","WA","17.1 Grosser Rat","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 2/2","2","Amtsgelübde von Regierungsrätin Denise Neuweiler","Wahlgeschäft","WA","17.2 Regierungsrat","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 3/3","3","Amtsgelübde von Regierungsrätin Sonja Wiesmann Schätzle","Wahlgeschäft","WA","17.2 Regierungsrat","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 4/4","4","Amtsgelübde von Sarah Nobs, Ersatzmitglied Obergericht","Wahlgeschäft","WA","17.3 Richterliche Behörden, Anwaltswesen","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 5/5","5","Amtsgelübde von Fabienne Hanselmann, Ersatzmitglied Verwaltungsgericht","Wahlgeschäft","WA","17.3 Richterliche Behörden, Anwaltswesen","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 6/6","6","Amtsgelübde von Hanna Trippel, Ersatzmitglied Verwaltungsgericht","Wahlgeschäft","WA","17.3 Richterliche Behörden, Anwaltswesen","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 7/7","7","Wahl des Präsidiums des Grossen Rates für das Amtsjahr 2024/2025","Wahlgeschäft","WA","17.1 Grosser Rat","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 8/8","8","Wahl des Vizepräsidiums des Grossen Rates für das Amtsjahr 2024/2025","Wahlgeschäft","WA","17.1 Grosser Rat","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 9/9","9","Wahl des Präsidiums und des Vizepräsidiums des Regierungsrates für das Amtsjahr 2024/2025","Wahlgeschäft","WA","17.2 Regierungsrat","abgeschlossen","Grosser Rat"
2024-05-22,"2024/WA 10/10","10","Wahl der Mitglieder des Ratssekretariates, Stimmenzählenden und Beisitzenden für die Amtsdauer 2024-2028","Wahlgeschäft","WA","17.1 Grosser Rat","abgeschlossen","Grosser Rat"
