"doc_title","doc_link","titel","geschaeftsnummer"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143566/Wahl%20vom%2022.05.2024.pdf","Wahl des Präsidiums des Grossen Rates für das Amtsjahr 2024/2025","2024/WA 7/7"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143565/Wahl%20vom%2022.05.2024.pdf","Wahl des Vizepräsidiums des Grossen Rates für das Amtsjahr 2024/2025","2024/WA 8/8"
"Missiv vom 23.04.2024 (24/WA 9/9)","https://grgeko.tg.ch/o/grgeko-portlet/activity/6082087/Missiv%20vom%2023.04.2024%20(24-WA%209-9).pdf","Wahl des Präsidiums und des Vizepräsidiums des Regierungsrates für das Amtsjahr 2024/2025","2024/WA 9/9"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143564/Wahl%20vom%2022.05.2024.pdf","Wahl des Präsidiums und des Vizepräsidiums des Regierungsrates für das Amtsjahr 2024/2025","2024/WA 9/9"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143563/Wahl%20vom%2022.05.2024.pdf","Wahl der Mitglieder des Ratssekretariates, Stimmenzählenden und Beisitzenden für die Amtsdauer 2024-2028","2024/WA 10/10"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143562/Wahl%20vom%2022.05.2024.pdf","Wahl der Mitglieder und des Präsidiums der Geschäftsprüfungs- und Finanzkommission für die Amtsdauer 2024-2028","2024/WA 11/11"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143561/Wahl%20vom%2022.05.2024.pdf","Wahl der Mitglieder und des Präsidiums der Justizkommission für die Amtsdauer 2024-2028","2024/WA 12/12"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143560/Wahl%20vom%2022.05.2024.pdf","Wahl der Mitglieder und des Präsidiums der Raumplanungskommission für die Amtsdauer 2024-2028","2024/WA 13/13"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143559/Wahl%20vom%2022.05.2024.pdf","Wahl der Mitglieder und des Präsidiums der Kommission für Klima, Energie und Umwelt für die Amtsdauer 2024-2028","2024/WA 14/14"
"Wahl vom 22.05.2024","https://grgeko.tg.ch/o/grgeko-portlet/activity/6143558/Wahl%20vom%2022.05.2024.pdf","Wahl der Mitglieder und des Präsidiums der Gesetzgebungs- und Redaktionskommission für die Amtsdauer 2024-2028","2024/WA 15/15"
